Episode,Total Reward,Loss,Epsilon
0,30,,1.0
1,27,1.1704000234603882,0.9996931475645849
2,33,3.087918758392334,0.9994160722756175
3,28,1.582111120223999,0.999079727992812
4,25,1.7476460933685303,0.9987929364584764
5,25,1.6364233493804932,0.9985358837133022
6,47,7.8722639083862305,0.9982788977931539
7,50,9.573761940002441,0.9978046377537285
8,40,13.903703689575195,0.9973009858306312
9,30,1.76801335811615,0.9968962753977487
10,36,1.4458227157592773,0.9965903849678418
11,38,1.0935325622558594,0.9962254140491873
12,31,11.740153312683105,0.9958408611304014
13,34,0.5670130252838135,0.9955254425245083
14,37,17.638500213623047,0.9951805689760163
15,31,0.26889240741729736,0.9948062714808334
16,27,0.21641260385513306,0.9944911838906628
17,28,0.1882883459329605,0.9942155649476261
18,65,0.32287687063217163,0.9939301838160555
19,43,0.2517005503177643,0.9932810041475927
20,26,2.15708327293396,0.9928484556734105
21,28,0.30892202258110046,0.9925831224119809
22,30,0.25169485807418823,0.992298214620108
23,37,0.1851382851600647,0.991993749368128
24,26,0.2637532949447632,0.991620662634337
25,26,0.2812791168689728,0.9913556608322789
26,34,0.26892024278640747,0.9910907305710489
27,35,0.28566256165504456,0.9907474089001462
28,30,0.4082263112068176,0.9903944033777486
29,61,0.41083231568336487,0.9900905282157851
30,33,0.27354007959365845,0.9894830604227665
31,27,0.2849302887916565,0.9891500927899279
32,36,0.287754088640213,0.9888759691430482
33,23,0.7619397640228271,0.9885138520302623
34,27,2.076744318008423,0.9882790368847196
35,26,1.5624629259109497,0.9880051570993512
36,31,1.5748155117034912,0.9877411313520142
37,35,0.619106650352478,0.9874283042449882
38,38,1.458510160446167,0.9870764933852143
39,44,1.4930444955825806,0.9866955078498024
40,32,0.7866136431694031,0.9862560937468583
41,27,0.9330421090126038,0.9859339823872193
42,52,0.5580044388771057,0.9856607591251927
43,29,0.2841618061065674,0.9851437959302043
44,33,0.5920250415802002,0.9848512966685082
45,39,0.2492021769285202,0.9845199035676604
46,40,0.1282390058040619,0.9841301735574318
47,25,0.24057841300964355,0.9837308620507259
48,27,0.4436764717102051,0.9834777249358436
49,30,0.22566843032836914,0.983205189329627
50,42,0.23272228240966797,0.9829035424786123
